Part,Weekly_Demand,Distance_Per_Unit_ft,Total_Weekly_Flow_unit_ft,Formula
P1,28500.0,287.68,8198880.0,28500.0 × 287.68 ft
P2,15200.0,131.31,1995912.0,15200.0 × 131.31 ft
P3,21400.0,178.96,3829744.0,21400.0 × 178.96 ft
P4,10800.0,129.38,1397304.0,10800.0 × 129.38 ft
P5,10700.0,96.88,1036616.0,10700.0 × 96.88 ft
P6,11100.0,154.6,1716060.0,11100.0 × 154.6 ft
P7,16900.0,183.38,3099122.0,16900.0 × 183.38 ft
P8,19600.0,139.31,2730476.0,19600.0 × 139.31 ft
P9,13200.0,226.08,2984256.0,13200.0 × 226.08 ft
P10,7600.0,96.82,735832.0,7600.0 × 96.82 ft
P11,22400.0,226.11,5064864.0,22400.0 × 226.11 ft
P12,25200.0,173.21,4364892.0,25200.0 × 173.21 ft
P13,12100.0,234.9,2842290.0,12100.0 × 234.9 ft
P14,25800.0,171.15,4415670.0,25800.0 × 171.15 ft
P15,9400.0,128.7,1209780.0,9400.0 × 128.7 ft
P16,13400.0,193.34,2590756.0,13400.0 × 193.34 ft
P17,15400.0,14.5,223300.0,15400.0 × 14.5 ft
P18,20700.0,19.6,405720.0,20700.0 × 19.6 ft
P19,29400.0,33.54,986076.0,29400.0 × 33.54 ft
P20,23900.0,14.31,342009.0,23900.0 × 14.31 ft
