Part,Process_Sequence,Total_Machines,Layout_Width_ft,Layout_Height_ft,Total_Area_sqft,Number_of_Steps
P1,B → A → B3 → C → D → I → J,129,260,216,56160,7
P2,A → C → D → H → J,29,122,180,21960,5
P3,B → D → C → I → J,63,172,216,37152,5
P4,A → B → D → G → H,22,116,108,12528,5
P5,B → C → D → I,25,106,144,15264,4
P6,A → B → C → D → H → I → J,34,150,180,27000,7
P7,E → F → C → D → I → J,46,208,180,37440,6
P8,E → H → J → I,29,128,180,23040,4
P9,F → G → E → G4 → I → J,38,246,180,44280,6
P10,E → F → I → J,14,108,108,11664,4
P11,E → G → E3 → G4 → I,49,248,144,35712,5
P12,E → G → F → I → J,45,202,216,43632,5
P13,E → F → G → F4 → G5 → H → I,39,232,144,33408,7
P14,E → F → G → H,33,174,180,31320,4
P15,E → G → F → H → J,25,144,144,20736,5
P16,F → H → I → J,36,142,216,30672,4
P17,K → L → M,34,19,31,589,3
P18,K → L → K3 → M,41,22,36,792,4
P19,L → M → L3 → M4,158,40,51,2040,4
P20,L → K → M,37,19,36,684,3
