Year,Operation,Total_Machines_Across_Parts_1_shift,Total_Machines_Across_Parts_2_shifts
Year 1,A,24.0,13.0
Year 1,B,73.0,38.0
Year 1,C,20.0,13.0
Year 1,D,103.0,53.0
Year 1,E,48.0,27.0
Year 1,F,56.0,29.0
Year 1,G,22.0,13.0
Year 1,H,71.0,38.0
Year 1,I,68.0,38.0
Year 1,J,116.0,61.0
Year 1,K,16.0,8.0
Year 1,L,71.0,36.0
Year 1,M,112.0,57.0
Year 2,A,32.0,17.0
Year 2,B,96.0,49.0
Year 2,C,29.0,16.0
Year 2,D,139.0,72.0
Year 2,E,76.0,40.0
Year 2,F,77.0,39.0
Year 2,G,32.0,17.0
Year 2,H,101.0,53.0
Year 2,I,98.0,51.0
Year 2,J,164.0,85.0
Year 2,K,23.0,12.0
Year 2,L,99.0,50.0
Year 2,M,157.0,79.0
Year 3,A,32.0,17.0
Year 3,B,103.0,53.0
Year 3,C,31.0,17.0
Year 3,D,152.0,79.0
Year 3,E,88.0,46.0
Year 3,F,83.0,43.0
Year 3,G,35.0,18.0
Year 3,H,109.0,57.0
Year 3,I,111.0,59.0
Year 3,J,181.0,93.0
Year 3,K,25.0,13.0
Year 3,L,109.0,55.0
Year 3,M,171.0,86.0
Year 4,A,33.0,17.0
Year 4,B,112.0,57.0
Year 4,C,32.0,17.0
Year 4,D,161.0,81.0
Year 4,E,98.0,50.0
Year 4,F,88.0,46.0
Year 4,G,39.0,21.0
Year 4,H,118.0,60.0
Year 4,I,121.0,63.0
Year 4,J,196.0,100.0
Year 4,K,28.0,15.0
Year 4,L,118.0,60.0
Year 4,M,184.0,93.0
Year 5,A,35.0,19.0
Year 5,B,122.0,63.0
Year 5,C,37.0,20.0
Year 5,D,177.0,90.0
Year 5,E,114.0,61.0
Year 5,F,100.0,53.0
Year 5,G,45.0,24.0
Year 5,H,129.0,67.0
Year 5,I,140.0,73.0
Year 5,J,219.0,112.0
Year 5,K,31.0,16.0
Year 5,L,130.0,66.0
Year 5,M,202.0,102.0
