Year,Part,Total_Machines_for_Part_1_shift,Total_Machines_for_Part_2_shifts
Year 1,P1,128.0,66.0
Year 1,P10,16.0,9.0
Year 1,P11,16.0,9.0
Year 1,P12,30.0,17.0
Year 1,P13,19.0,11.0
Year 1,P14,42.0,23.0
Year 1,P15,10.0,7.0
Year 1,P16,60.0,31.0
Year 1,P17,19.0,10.0
Year 1,P18,38.0,19.0
Year 1,P19,101.0,51.0
Year 1,P2,44.0,23.0
Year 1,P20,41.0,21.0
Year 1,P3,31.0,17.0
Year 1,P4,36.0,19.0
Year 1,P5,26.0,14.0
Year 1,P6,23.0,13.0
Year 1,P7,68.0,36.0
Year 1,P8,13.0,8.0
Year 1,P9,39.0,20.0
Year 2,P1,160.0,82.0
Year 2,P10,23.0,13.0
Year 2,P11,30.0,15.0
Year 2,P12,54.0,29.0
Year 2,P13,35.0,18.0
Year 2,P14,57.0,29.0
Year 2,P15,25.0,13.0
Year 2,P16,63.0,32.0
Year 2,P17,38.0,19.0
Year 2,P18,54.0,28.0
Year 2,P19,129.0,65.0
Year 2,P2,60.0,31.0
Year 2,P20,58.0,29.0
Year 2,P3,58.0,31.0
Year 2,P4,39.0,21.0
Year 2,P5,34.0,18.0
Year 2,P6,49.0,26.0
Year 2,P7,80.0,40.0
Year 2,P8,29.0,15.0
Year 2,P9,48.0,26.0
Year 3,P1,168.0,87.0
Year 3,P10,24.0,13.0
Year 3,P11,37.0,20.0
Year 3,P12,65.0,34.0
Year 3,P13,41.0,22.0
Year 3,P14,57.0,29.0
Year 3,P15,30.0,16.0
Year 3,P16,63.0,32.0
Year 3,P17,46.0,24.0
Year 3,P18,59.0,30.0
Year 3,P19,138.0,69.0
Year 3,P2,60.0,31.0
Year 3,P20,62.0,31.0
Year 3,P3,81.0,43.0
Year 3,P4,39.0,21.0
Year 3,P5,37.0,20.0
Year 3,P6,52.0,28.0
Year 3,P7,80.0,40.0
Year 3,P8,38.0,19.0
Year 3,P9,53.0,27.0
Year 4,P1,174.0,88.0
Year 4,P10,26.0,14.0
Year 4,P11,43.0,22.0
Year 4,P12,72.0,37.0
Year 4,P13,46.0,24.0
Year 4,P14,61.0,32.0
Year 4,P15,37.0,19.0
Year 4,P16,64.0,32.0
Year 4,P17,54.0,27.0
Year 4,P18,63.0,33.0
Year 4,P19,147.0,74.0
Year 4,P2,57.0,29.0
Year 4,P20,66.0,34.0
Year 4,P3,99.0,50.0
Year 4,P4,42.0,22.0
Year 4,P5,39.0,20.0
Year 4,P6,58.0,31.0
Year 4,P7,80.0,40.0
Year 4,P8,46.0,24.0
Year 4,P9,54.0,28.0
Year 5,P1,184.0,93.0
Year 5,P10,26.0,14.0
Year 5,P11,53.0,27.0
Year 5,P12,88.0,45.0
Year 5,P13,54.0,28.0
Year 5,P14,62.0,33.0
Year 5,P15,46.0,25.0
Year 5,P16,68.0,36.0
Year 5,P17,65.0,34.0
Year 5,P18,68.0,34.0
Year 5,P19,158.0,79.0
Year 5,P2,56.0,29.0
Year 5,P20,72.0,37.0
Year 5,P3,124.0,63.0
Year 5,P4,42.0,22.0
Year 5,P5,46.0,25.0
Year 5,P6,65.0,34.0
Year 5,P7,86.0,46.0
Year 5,P8,57.0,29.0
Year 5,P9,61.0,33.0
