Year,Part,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7
Year 1,P1,B: 50,A: 10,B: 50,C: 5,D: 25,I: 13,J: 25
Year 1,P10,E: 4,F: 4,I: 3,J: 5,,,
Year 1,P11,E: 10,G: 3,E: 10,G: 3,I: 3,,
Year 1,P12,E: 5,G: 3,F: 5,I: 6,J: 11,,
Year 1,P13,E: 3,F: 6,G: 2,F: 6,G: 2,H: 5,I: 3
Year 1,P14,E: 9,F: 13,G: 5,H: 15,,,
Year 1,P15,E: 1,G: 1,F: 2,H: 3,J: 3,,
Year 1,P16,F: 8,H: 29,I: 8,J: 15,,,
Year 1,P17,K: 2,L: 8,M: 9,,,,
Year 1,P18,K: 8,L: 8,K: 8,M: 22,,,
Year 1,P19,L: 41,M: 60,L: 41,M: 60,,,
Year 1,P2,A: 7,C: 3,D: 14,H: 6,J: 14,,
Year 1,P20,L: 14,K: 6,M: 21,,,,
Year 1,P3,B: 6,D: 9,C: 3,I: 5,J: 8,,
Year 1,P4,A: 5,B: 9,D: 14,G: 2,H: 6,,
Year 1,P5,B: 5,C: 3,D: 12,I: 6,,,
Year 1,P6,A: 2,B: 3,C: 1,D: 6,H: 2,I: 3,J: 6
Year 1,P7,E: 7,F: 10,C: 5,D: 23,I: 9,J: 14,
Year 1,P8,E: 3,H: 5,J: 2,I: 3,,,
Year 1,P9,F: 8,G: 6,E: 6,G: 6,I: 6,J: 13,
Year 2,P1,B: 62,A: 13,B: 62,C: 7,D: 31,I: 16,J: 31
Year 2,P10,E: 5,F: 6,I: 5,J: 7,,,
Year 2,P11,E: 18,G: 6,E: 18,G: 6,I: 6,,
Year 2,P12,E: 9,G: 5,F: 9,I: 11,J: 20,,
Year 2,P13,E: 6,F: 10,G: 4,F: 10,G: 4,H: 9,I: 6
Year 2,P14,E: 12,F: 18,G: 6,H: 21,,,
Year 2,P15,E: 3,G: 2,F: 4,H: 8,J: 8,,
Year 2,P16,F: 8,H: 31,I: 8,J: 16,,,
Year 2,P17,K: 4,L: 16,M: 18,,,,
Year 2,P18,K: 11,L: 11,K: 11,M: 32,,,
Year 2,P19,L: 52,M: 77,L: 52,M: 77,,,
Year 2,P2,A: 10,C: 4,D: 19,H: 8,J: 19,,
Year 2,P20,L: 20,K: 8,M: 30,,,,
Year 2,P3,B: 11,D: 18,C: 5,I: 9,J: 15,,
Year 2,P4,A: 5,B: 10,D: 15,G: 2,H: 7,,
Year 2,P5,B: 7,C: 4,D: 15,I: 8,,,
Year 2,P6,A: 4,B: 6,C: 3,D: 13,H: 5,I: 6,J: 12
Year 2,P7,E: 8,F: 12,C: 6,D: 28,I: 10,J: 16,
Year 2,P8,E: 8,H: 12,J: 3,I: 6,,,
Year 2,P9,F: 10,G: 7,E: 7,G: 7,I: 7,J: 17,
Year 3,P1,B: 65,A: 13,B: 65,C: 7,D: 33,I: 17,J: 33
Year 3,P10,E: 6,F: 6,I: 5,J: 7,,,
Year 3,P11,E: 23,G: 7,E: 23,G: 7,I: 7,,
Year 3,P12,E: 11,G: 6,F: 11,I: 13,J: 24,,
Year 3,P13,E: 7,F: 12,G: 4,F: 12,G: 4,H: 11,I: 7
Year 3,P14,E: 12,F: 18,G: 6,H: 21,,,
Year 3,P15,E: 3,G: 2,F: 5,H: 10,J: 10,,
Year 3,P16,F: 8,H: 31,I: 8,J: 16,,,
Year 3,P17,K: 5,L: 19,M: 22,,,,
Year 3,P18,K: 12,L: 12,K: 12,M: 35,,,
Year 3,P19,L: 56,M: 82,L: 56,M: 82,,,
Year 3,P2,A: 10,C: 4,D: 19,H: 8,J: 19,,
Year 3,P20,L: 22,K: 8,M: 32,,,,
Year 3,P3,B: 15,D: 25,C: 7,I: 13,J: 21,,
Year 3,P4,A: 5,B: 10,D: 15,G: 2,H: 7,,
Year 3,P5,B: 7,C: 4,D: 17,I: 9,,,
Year 3,P6,A: 4,B: 6,C: 3,D: 15,H: 5,I: 6,J: 13
Year 3,P7,E: 8,F: 12,C: 6,D: 28,I: 10,J: 16,
Year 3,P8,E: 10,H: 16,J: 4,I: 8,,,
Year 3,P9,F: 11,G: 8,E: 8,G: 8,I: 8,J: 18,
Year 4,P1,B: 68,A: 14,B: 68,C: 7,D: 34,I: 17,J: 34
Year 4,P10,E: 6,F: 7,I: 5,J: 8,,,
Year 4,P11,E: 27,G: 8,E: 27,G: 8,I: 8,,
Year 4,P12,E: 12,G: 6,F: 12,I: 15,J: 27,,
Year 4,P13,E: 8,F: 13,G: 5,F: 13,G: 5,H: 12,I: 8
Year 4,P14,E: 13,F: 19,G: 7,H: 22,,,
Year 4,P15,E: 4,G: 3,F: 6,H: 12,J: 12,,
Year 4,P16,F: 8,H: 32,I: 8,J: 16,,,
Year 4,P17,K: 6,L: 22,M: 26,,,,
Year 4,P18,K: 13,L: 13,K: 13,M: 37,,,
Year 4,P19,L: 60,M: 87,L: 60,M: 87,,,
