Year,Process,Part,Weekly_Part_Demand,Time_Per_Unit_Minutes,Total_Weekly_Minutes
Year 1,A,P1,20961.53846153846,1.0,20961.53846153846
Year 1,A,P2,11153.846153846152,1.25,13942.307692307691
Year 1,A,P4,9230.76923076923,1.0,9230.76923076923
Year 1,A,P6,4038.4615384615386,0.75,3028.846153846154
Year 1,B,P1,20961.53846153846,2.5,52403.846153846156
Year 1,B,P1,20961.53846153846,2.5,52403.846153846156
Year 1,B,P3,6153.846153846154,1.75,10769.23076923077
Year 1,B,P4,9230.76923076923,2.0,18461.53846153846
Year 1,B,P5,6923.076923076923,1.5,10384.615384615385
Year 1,B,P6,4038.4615384615386,1.25,5048.076923076923
Year 1,C,P1,20961.53846153846,0.5,10480.76923076923
Year 1,C,P2,11153.846153846152,0.5,5576.923076923076
Year 1,C,P3,6153.846153846154,0.75,4615.384615384615
Year 1,C,P5,6923.076923076923,0.75,5192.307692307692
Year 1,C,P6,4038.4615384615386,0.5,2019.2307692307693
Year 1,C,P7,13846.153846153848,0.75,10384.615384615387
Year 1,D,P1,20961.53846153846,2.5,52403.846153846156
Year 1,D,P2,11153.846153846152,2.5,27884.615384615383
Year 1,D,P3,6153.846153846154,3.0,18461.53846153846
Year 1,D,P4,9230.76923076923,3.0,27692.30769230769
Year 1,D,P5,6923.076923076923,3.5,24230.76923076923
Year 1,D,P6,4038.4615384615386,3.0,12115.384615384615
Year 1,D,P7,13846.153846153848,3.5,48461.53846153847
Year 1,E,P10,4615.384615384615,1.5,6923.076923076923
Year 1,E,P11,8076.923076923077,1.25,10096.153846153846
Year 1,E,P11,8076.923076923077,1.25,10096.153846153846
Year 1,E,P12,10000.0,1.0,10000.0
Year 1,E,P13,5000.0,1.25,6250.0
Year 1,E,P14,18076.92307692308,1.0,18076.92307692308
Year 1,E,P15,2307.692307692308,0.75,1730.769230769231
Year 1,E,P7,13846.153846153848,1.0,13846.153846153848
Year 1,E,P8,4615.384615384615,1.25,5769.2307692307695
Year 1,E,P9,8846.153846153846,1.25,11057.692307692307
Year 1,F,P10,4615.384615384615,1.75,8076.923076923076
Year 1,F,P12,10000.0,1.0,10000.0
Year 1,F,P13,5000.0,1.25,6250.0
Year 1,F,P13,5000.0,1.0,5000.0
Year 1,F,P14,18076.92307692308,1.5,27115.384615384624
Year 1,F,P15,2307.692307692308,1.25,2884.615384615385
Year 1,F,P16,11923.076923076924,1.25,14903.846153846154
Year 1,F,P7,13846.153846153848,1.5,20769.230769230773
Year 1,F,P9,8846.153846153846,1.75,15480.76923076923
Year 1,G,P11,8076.923076923077,0.5,4038.4615384615386
Year 1,G,P11,8076.923076923077,0.25,2019.2307692307693
Year 1,G,P12,10000.0,0.5,5000.0
Year 1,G,P13,5000.0,0.5,2500.0
Year 1,G,P13,5000.0,0.25,1250.0
Year 1,G,P14,18076.92307692308,0.5,9038.46153846154
Year 1,G,P15,2307.692307692308,0.5,1153.846153846154
Year 1,G,P4,9230.76923076923,0.25,2307.6923076923076
Year 1,G,P9,8846.153846153846,0.75,6634.615384615385
Year 1,G,P9,8846.153846153846,0.5,4423.076923076923
Year 1,H,P13,5000.0,2.0,10000.0
Year 1,H,P14,18076.92307692308,1.75,31634.615384615394
Year 1,H,P15,2307.692307692308,2.5,5769.23076923077
Year 1,H,P16,11923.076923076924,5.0,59615.38461538462
Year 1,H,P2,11153.846153846152,1.0,11153.846153846152
Year 1,H,P4,9230.76923076923,1.25,11538.461538461539
Year 1,H,P6,4038.4615384615386,1.0,4038.4615384615386
Year 1,H,P8,4615.384615384615,2.0,9230.76923076923
Year 1,I,P1,20961.53846153846,1.25,26201.923076923078
Year 1,I,P10,4615.384615384615,1.25,5769.2307692307695
Year 1,I,P11,8076.923076923077,0.75,6057.692307692308
Year 1,I,P12,10000.0,1.25,12500.0
Year 1,I,P13,5000.0,1.25,6250.0
Year 1,I,P16,11923.076923076924,1.25,14903.846153846154
Year 1,I,P3,6153.846153846154,1.5,9230.76923076923
Year 1,I,P5,6923.076923076923,1.75,12115.384615384615
Year 1,I,P6,4038.4615384615386,1.25,5048.076923076923
Year 1,I,P7,13846.153846153848,1.25,17307.69230769231
Year 1,I,P8,4615.384615384615,1.0,4615.384615384615
Year 1,I,P9,8846.153846153846,1.25,11057.692307692307
Year 1,J,P1,20961.53846153846,2.5,52403.846153846156
Year 1,J,P10,4615.384615384615,2.0,9230.76923076923
Year 1,J,P12,10000.0,2.25,22500.0
Year 1,J,P15,2307.692307692308,2.5,5769.23076923077
Year 1,J,P16,11923.076923076924,2.5,29807.69230769231
Year 1,J,P2,11153.846153846152,2.5,27884.615384615383
Year 1,J,P3,6153.846153846154,2.5,15384.615384615387
Year 1,J,P6,4038.4615384615386,2.75,11105.76923076923
Year 1,J,P7,13846.153846153848,2.0,27692.307692307695
Year 1,J,P8,4615.384615384615,0.5,2307.6923076923076
Year 1,J,P9,8846.153846153846,3.0,26538.46153846154
Year 1,K,P17,5000.0,0.75,3750.0
Year 1,K,P18,11923.076923076924,0.75,8942.307692307693
Year 1,K,P18,11923.076923076924,0.5,5961.538461538462
Year 1,K,P20,14807.692307692309,0.75,11105.76923076923
Year 1,L,P17,5000.0,3.0,15000.0
Year 1,L,P18,11923.076923076924,1.25,14903.846153846154
Year 1,L,P19,20000.0,2.25,45000.0
Year 1,L,P19,20000.0,2.0,40000.0
Year 1,L,P20,14807.692307692309,2.0,29615.384615384617
Year 1,M,P17,5000.0,3.5,17500.0
Year 1,M,P18,11923.076923076924,3.75,44711.53846153846
Year 1,M,P19,20000.0,2.5,50000.0
Year 1,M,P19,20000.0,3.75,75000.0
Year 1,M,P20,14807.692307692309,3.0,44423.07692307692
Year 2,A,P1,26100.0,1.0,26100.0
Year 2,A,P2,15400.0,1.25,19250.0
Year 2,A,P4,10200.0,1.0,10200.0
Year 2,A,P6,8700.0,0.75,6525.0
Year 2,B,P1,26100.0,2.5,65250.0
Year 2,B,P1,26100.0,2.5,65250.0
Year 2,B,P3,12600.0,1.75,22050.0
Year 2,B,P4,10200.0,2.0,20400.0
Year 2,B,P5,8900.0,1.5,13350.0
Year 2,B,P6,8700.0,1.25,10875.0
Year 2,C,P1,26100.0,0.5,13050.0
Year 2,C,P2,15400.0,0.5,7700.0
Year 2,C,P3,12600.0,0.75,9450.0
Year 2,C,P5,8900.0,0.75,6675.0
Year 2,C,P6,8700.0,0.5,4350.0
Year 2,C,P7,16900.0,0.75,12675.0
Year 2,D,P1,26100.0,2.5,65250.0
Year 2,D,P2,15400.0,2.5,38500.0
Year 2,D,P3,12600.0,3.0,37800.0
Year 2,D,P4,10200.0,3.0,30600.0
Year 2,D,P5,8900.0,3.5,31150.0
Year 2,D,P6,8700.0,3.0,26100.0
Year 2,D,P7,16900.0,3.5,59150.0
Year 2,E,P10,6800.0,1.5,10200.0
Year 2,E,P11,15200.0,1.25,19000.0
Year 2,E,P11,15200.0,1.25,19000.0
Year 2,E,P12,18200.0,1.0,18200.0
Year 2,E,P13,9100.0,1.25,11375.0
Year 2,E,P14,24600.0,1.0,24600.0
Year 2,E,P15,6000.0,0.75,4500.0
Year 2,E,P7,16900.0,1.0,16900.0
Year 2,E,P8,12200.0,1.25,15250.0
Year 2,E,P9,11400.0,1.25,14250.0
Year 2,F,P10,6800.0,1.75,11900.0
