Year,Part,From,To,Flow
Year 1,P1,A,B,20961.53846153846
Year 1,P1,B,A,20961.53846153846
Year 1,P1,B,C,20961.53846153846
Year 1,P1,C,D,20961.53846153846
Year 1,P1,D,I,20961.53846153846
Year 1,P1,I,J,20961.53846153846
Year 1,P10,E,F,4615.384615384615
Year 1,P10,F,I,4615.384615384615
Year 1,P10,I,J,4615.384615384615
Year 1,P11,E,G,8076.923076923077
Year 1,P11,E,G,8076.923076923077
Year 1,P11,G,E,8076.923076923077
Year 1,P11,G,I,8076.923076923077
Year 1,P12,E,G,10000.0
Year 1,P12,F,I,10000.0
Year 1,P12,G,F,10000.0
Year 1,P12,I,J,10000.0
Year 1,P13,E,F,5000.0
Year 1,P13,F,G,5000.0
Year 1,P13,F,G,5000.0
Year 1,P13,G,F,5000.0
Year 1,P13,G,H,5000.0
Year 1,P13,H,I,5000.0
Year 1,P14,E,F,18076.92307692308
Year 1,P14,F,G,18076.92307692308
Year 1,P14,G,H,18076.92307692308
Year 1,P15,E,G,2307.692307692308
Year 1,P15,F,H,2307.692307692308
Year 1,P15,G,F,2307.692307692308
Year 1,P15,H,J,2307.692307692308
Year 1,P16,F,H,11923.076923076924
Year 1,P16,H,I,11923.076923076924
Year 1,P16,I,J,11923.076923076924
Year 1,P17,K,L,5000.0
Year 1,P17,L,M,5000.0
Year 1,P18,K,L,11923.076923076924
Year 1,P18,K,M,11923.076923076924
Year 1,P18,L,K,11923.076923076924
Year 1,P19,L,M,20000.0
Year 1,P19,L,M,20000.0
Year 1,P19,M,L,20000.0
Year 1,P2,A,C,11153.846153846152
Year 1,P2,C,D,11153.846153846152
Year 1,P2,D,H,11153.846153846152
Year 1,P2,H,J,11153.846153846152
Year 1,P20,K,M,14807.692307692309
Year 1,P20,L,K,14807.692307692309
Year 1,P3,B,D,6153.846153846154
Year 1,P3,C,I,6153.846153846154
Year 1,P3,D,C,6153.846153846154
Year 1,P3,I,J,6153.846153846154
Year 1,P4,A,B,9230.76923076923
Year 1,P4,B,D,9230.76923076923
Year 1,P4,D,G,9230.76923076923
Year 1,P4,G,H,9230.76923076923
Year 1,P5,B,C,6923.076923076923
Year 1,P5,C,D,6923.076923076923
Year 1,P5,D,I,6923.076923076923
Year 1,P6,A,B,4038.4615384615386
Year 1,P6,B,C,4038.4615384615386
Year 1,P6,C,D,4038.4615384615386
Year 1,P6,D,H,4038.4615384615386
Year 1,P6,H,I,4038.4615384615386
Year 1,P6,I,J,4038.4615384615386
Year 1,P7,C,D,13846.153846153848
Year 1,P7,D,I,13846.153846153848
Year 1,P7,E,F,13846.153846153848
Year 1,P7,F,C,13846.153846153848
Year 1,P7,I,J,13846.153846153848
Year 1,P8,E,H,4615.384615384615
Year 1,P8,H,J,4615.384615384615
Year 1,P8,J,I,4615.384615384615
Year 1,P9,E,G,8846.153846153846
Year 1,P9,F,G,8846.153846153846
Year 1,P9,G,E,8846.153846153846
Year 1,P9,G,I,8846.153846153846
Year 1,P9,I,J,8846.153846153846
Year 2,P1,A,B,26100.0
Year 2,P1,B,A,26100.0
Year 2,P1,B,C,26100.0
Year 2,P1,C,D,26100.0
Year 2,P1,D,I,26100.0
Year 2,P1,I,J,26100.0
Year 2,P10,E,F,6800.0
Year 2,P10,F,I,6800.0
Year 2,P10,I,J,6800.0
Year 2,P11,E,G,15200.0
